Catégorie : Toutes les catégories

Semaine,robe bleue: (France),robe rouge: (France),robe noire: (France)
2012-09-30,2,7,17
2012-10-07,1,7,17
2012-10-14,2,8,16
2012-10-21,2,8,17
2012-10-28,1,7,19
2012-11-04,2,10,19
2012-11-11,2,8,25
2012-11-18,2,9,28
2012-11-25,2,10,28
2012-12-02,2,11,31
2012-12-09,2,11,36
2012-12-16,2,11,38
2012-12-23,2,10,34
2012-12-30,1,7,18
2013-01-06,1,7,16
2013-01-13,1,8,13
2013-01-20,2,8,14
2013-01-27,1,9,15
2013-02-03,1,10,15
2013-02-10,2,10,16
2013-02-17,2,9,14
2013-02-24,2,10,14
2013-03-03,2,8,16
2013-03-10,2,10,15
2013-03-17,2,9,20
2013-03-24,2,10,20
2013-03-31,2,10,20
2013-04-07,2,9,18
2013-04-14,2,10,18
2013-04-21,4,11,16
2013-04-28,3,10,17
2013-05-05,3,10,20
2013-05-12,3,11,21
2013-05-19,2,11,26
2013-05-26,2,11,20
2013-06-02,3,11,17
2013-06-09,3,13,16
2013-06-16,3,11,17
2013-06-23,3,11,18
2013-06-30,3,10,15
2013-07-07,3,9,17
2013-07-14,3,9,19
2013-07-21,4,9,16
2013-07-28,2,9,16
2013-08-04,3,11,16
2013-08-11,2,9,18
2013-08-18,3,10,17
2013-08-25,3,9,16
2013-09-01,2,8,28
2013-09-08,2,7,20
2013-09-15,2,9,19
2013-09-22,2,7,18
2013-09-29,2,8,18
2013-10-06,1,7,17
2013-10-13,1,9,21
2013-10-20,2,11,23
2013-10-27,2,9,24
2013-11-03,2,7,22
2013-11-10,2,10,26
2013-11-17,2,10,28
2013-11-24,2,13,37
2013-12-01,2,15,42
2013-12-08,3,15,43
2013-12-15,3,14,45
2013-12-22,3,13,48
2013-12-29,2,10,26
2014-01-05,1,10,21
2014-01-12,2,10,23
2014-01-19,3,12,20
2014-01-26,3,14,20
2014-02-02,2,14,22
2014-02-09,2,14,24
2014-02-16,3,13,20
2014-02-23,3,12,19
2014-03-02,3,13,29
2014-03-09,4,13,28
2014-03-16,3,13,28
2014-03-23,3,14,29
2014-03-30,4,14,25
2014-04-06,3,14,23
2014-04-13,4,13,23
2014-04-20,5,15,25
2014-04-27,5,16,25
2014-05-04,4,15,26
2014-05-11,5,17,27
2014-05-18,5,16,28
2014-05-25,5,15,26
2014-06-01,4,14,24
2014-06-08,5,15,25
2014-06-15,4,12,20
2014-06-22,5,15,28
2014-06-29,5,13,23
2014-07-06,5,15,21
2014-07-13,3,13,19
2014-07-20,3,12,20
2014-07-27,3,13,21
2014-08-03,3,12,18
2014-08-10,3,14,18
2014-08-17,3,12,20
2014-08-24,3,11,20
2014-08-31,2,11,20
2014-09-07,3,10,20
2014-09-14,3,11,24
2014-09-21,3,11,21
2014-09-28,2,12,21
2014-10-05,2,12,21
2014-10-12,2,12,23
2014-10-19,2,12,25
2014-10-26,2,12,26
2014-11-02,2,12,25
2014-11-09,2,14,30
2014-11-16,2,14,31
2014-11-23,3,16,35
2014-11-30,2,18,40
2014-12-07,3,18,45
2014-12-14,3,18,47
2014-12-21,3,17,42
2014-12-28,2,15,28
2015-01-04,2,10,19
2015-01-11,2,11,20
2015-01-18,3,13,20
2015-01-25,3,14,20
2015-02-01,2,14,20
2015-02-08,3,15,24
2015-02-15,3,18,23
2015-02-22,75,18,90
2015-03-01,77,18,100
2015-03-08,23,16,42
2015-03-15,11,14,35
2015-03-22,7,16,27
2015-03-29,7,15,28
2015-04-05,8,16,25
2015-04-12,7,17,25
2015-04-19,7,15,23
2015-04-26,6,20,26
2015-05-03,7,19,25
2015-05-10,7,19,29
2015-05-17,7,18,27
2015-05-24,7,17,29
2015-05-31,7,17,24
2015-06-07,6,16,22
2015-06-14,6,16,22
2015-06-21,7,17,24
2015-06-28,6,17,25
2015-07-05,7,16,24
2015-07-12,7,17,23
2015-07-19,6,16,24
2015-07-26,5,16,20
2015-08-02,5,13,20
2015-08-09,5,14,20
2015-08-16,5,13,19
2015-08-23,4,13,20
